-18.00 -90.00
-20.00 -38.00
-30.00 -37.50
-40.00 -37.00
-50.00 -36.50
-63.00 -36.00
-63.00 -30.50
-60.00 -29.00
-50.00 -12.00
-40.00 12.00
-30.00 26.00
-20.00 35.50
-10.00 42.00
0.00 45.74
10.00 45.18
20.00 43.46
30.00 40.38
40.00 35.60
50.00 28.56
60.00 18.48
70.00 4.54
80.00 -13.16
90.00 -31.97
100.00 -47.60
110.00 -58.27
120.00 -65.01
130.00 -69.28
140.00 -72.03
150.00 -73.81
160.00 -74.93
170.00 -75.54
180.00 -75.74
190.00 -75.74
198.00 -88.00
198.00 -90.00
-18.00 -90.00
